Origin Airport,Airline Name,Departure Hour,Day of Week,Year,Month,On-Time,Number of Flights,Flights Delayed,Flights Cancelled,Avg Delay (min)
BWI,AirTran Airways Corporation,0:00-0:6:00,Sunday,2009,September,3,3,0,0,
BWI,AirTran Airways Corporation,0:00-0:6:00,Sunday,2009,October,3,4,1,0,5.00
BWI,AirTran Airways Corporation,0:00-0:6:00,Sunday,2009,November,5,5,0,0,
BWI,AirTran Airways Corporation,0:00-0:6:00,Sunday,2009,December,4,4,0,1,
BWI,AirTran Airways Corporation,0:00-0:6:00,Sunday,2010,January,4,5,1,1,2.00
BWI,AirTran Airways Corporation,0:00-0:6:00,Sunday,2010,February,4,4,0,1,
BWI,AirTran Airways Corporation,0:00-0:6:00,Sunday,2010,March,2,4,2,0,18.00
BWI,AirTran Airways Corporation,0:00-0:6:00,Sunday,2010,April,1,1,0,0,
BWI,AirTran Airways Corporation,0:00-0:6:00,Monday,2009,September,3,4,1,0,20.00
BWI,AirTran Airways Corporation,0:00-0:6:00,Monday,2009,October,2,4,2,0,21.00
BWI,AirTran Airways Corporation,0:00-0:6:00,Monday,2009,November,2,5,3,0,14.00
BWI,AirTran Airways Corporation,0:00-0:6:00,Monday,2009,December,2,4,2,0,9.50
BWI,AirTran Airways Corporation,0:00-0:6:00,Monday,2010,January,3,4,1,0,4.00
BWI,AirTran Airways Corporation,0:00-0:6:00,Monday,2010,February,4,4,0,0,
BWI,AirTran Airways Corporation,0:00-0:6:00,Monday,2010,March,5,5,0,0,
BWI,AirTran Airways Corporation,0:00-0:6:00,Monday,2010,April,1,1,0,0,
BWI,AirTran Airways Corporation,0:00-0:6:00,Tuesday,2009,September,3,4,1,0,14.00
BWI,AirTran Airways Corporation,0:00-0:6:00,Tuesday,2009,October,3,4,1,0,11.00
BWI,AirTran Airways Corporation,0:00-0:6:00,Tuesday,2009,November,1,4,3,0,4.00
BWI,AirTran Airways Corporation,0:00-0:6:00,Tuesday,2009,December,4,5,1,0,3.00
BWI,AirTran Airways Corporation,0:00-0:6:00,Tuesday,2010,January,3,4,1,0,4.00
BWI,AirTran Airways Corporation,0:00-0:6:00,Tuesday,2010,February,2,4,2,0,20.00
BWI,AirTran Airways Corporation,0:00-0:6:00,Tuesday,2010,March,4,5,1,0,6.00
BWI,AirTran Airways Corporation,0:00-0:6:00,Wednesday,2009,September,4,4,0,0,
BWI,AirTran Airways Corporation,0:00-0:6:00,Wednesday,2009,October,1,4,3,0,4.67
BWI,AirTran Airways Corporation,0:00-0:6:00,Wednesday,2009,November,2,4,2,0,4.50
BWI,AirTran Airways Corporation,0:00-0:6:00,Wednesday,2009,December,1,5,4,0,10.25
BWI,AirTran Airways Corporation,0:00-0:6:00,Wednesday,2010,January,3,4,1,0,6.00
BWI,AirTran Airways Corporation,0:00-0:6:00,Wednesday,2010,February,4,4,0,1,
BWI,AirTran Airways Corporation,0:00-0:6:00,Wednesday,2010,March,4,5,1,0,6.00
BWI,AirTran Airways Corporation,0:00-0:6:00,Thursday,2009,September,3,4,1,0,5.00
BWI,AirTran Airways Corporation,0:00-0:6:00,Thursday,2009,October,4,5,1,0,4.00
BWI,AirTran Airways Corporation,0:00-0:6:00,Thursday,2009,November,3,4,1,0,4.00
BWI,AirTran Airways Corporation,0:00-0:6:00,Thursday,2009,December,1,5,4,0,10.25
BWI,AirTran Airways Corporation,0:00-0:6:00,Thursday,2010,January,3,4,1,0,8.00
BWI,AirTran Airways Corporation,0:00-0:6:00,Thursday,2010,February,4,4,0,1,
BWI,AirTran Airways Corporation,0:00-0:6:00,Thursday,2010,March,3,4,1,0,82.00
BWI,AirTran Airways Corporation,0:00-0:6:00,Thursday,2010,April,1,1,0,0,
BWI,AirTran Airways Corporation,0:00-0:6:00,Friday,2009,September,3,4,1,0,103.00
BWI,AirTran Airways Corporation,0:00-0:6:00,Friday,2009,October,4,5,1,0,6.00
BWI,AirTran Airways Corporation,0:00-0:6:00,Friday,2009,November,4,4,0,0,
BWI,AirTran Airways Corporation,0:00-0:6:00,Friday,2009,December,2,4,2,0,4.50
BWI,AirTran Airways Corporation,0:00-0:6:00,Friday,2010,January,2,5,3,0,17.67
BWI,AirTran Airways Corporation,0:00-0:6:00,Friday,2010,February,3,4,1,0,10.00
BWI,AirTran Airways Corporation,0:00-0:6:00,Friday,2010,March,3,4,1,0,7.00
BWI,AirTran Airways Corporation,0:00-0:6:00,Friday,2010,April,1,1,0,0,
BWI,AirTran Airways Corporation,0:00-0:6:00,Saturday,2009,September,3,4,1,0,2.00
BWI,AirTran Airways Corporation,0:00-0:6:00,Saturday,2009,October,5,5,0,0,
BWI,AirTran Airways Corporation,0:00-0:6:00,Saturday,2009,November,4,4,0,0,
BWI,AirTran Airways Corporation,0:00-0:6:00,Saturday,2009,December,2,4,2,1,2.50
BWI,AirTran Airways Corporation,0:00-0:6:00,Saturday,2010,January,4,5,1,0,6.00
BWI,AirTran Airways Corporation,0:00-0:6:00,Saturday,2010,February,1,1,0,1,
BWI,AirTran Airways Corporation,06:00-07:00,Sunday,2009,January,5,8,3,0,5.00
BWI,AirTran Airways Corporation,06:00-07:00,Sunday,2009,February,6,6,0,1,
BWI,AirTran Airways Corporation,06:00-07:00,Sunday,2009,March,2,5,3,0,10.33
BWI,AirTran Airways Corporation,06:00-07:00,Sunday,2009,April,4,4,0,0,
BWI,AirTran Airways Corporation,06:00-07:00,Sunday,2009,May,10,10,0,0,
BWI,AirTran Airways Corporation,06:00-07:00,Sunday,2009,June,7,8,1,0,5.00
BWI,AirTran Airways Corporation,06:00-07:00,Sunday,2009,July,6,8,2,0,6.50
BWI,AirTran Airways Corporation,06:00-07:00,Sunday,2009,August,8,10,2,0,17.50
BWI,AirTran Airways Corporation,06:00-07:00,Sunday,2009,September,4,5,1,0,57.00
BWI,AirTran Airways Corporation,06:00-07:00,Sunday,2009,October,6,8,2,0,10.50
BWI,AirTran Airways Corporation,06:00-07:00,Sunday,2009,November,5,6,1,0,17.00
BWI,AirTran Airways Corporation,06:00-07:00,Sunday,2009,December,7,8,1,2,4.00
BWI,AirTran Airways Corporation,06:00-07:00,Sunday,2010,January,10,10,0,1,
BWI,AirTran Airways Corporation,06:00-07:00,Sunday,2010,February,7,8,1,2,1.00
BWI,AirTran Airways Corporation,06:00-07:00,Sunday,2010,March,5,8,3,0,45.33
BWI,AirTran Airways Corporation,06:00-07:00,Sunday,2010,April,7,8,1,0,1.00
BWI,AirTran Airways Corporation,06:00-07:00,Sunday,2010,May,9,9,0,0,
BWI,AirTran Airways Corporation,06:00-07:00,Sunday,2010,June,8,8,0,0,
BWI,AirTran Airways Corporation,06:00-07:00,Sunday,2010,July,8,8,0,0,
BWI,AirTran Airways Corporation,06:00-07:00,Sunday,2010,August,10,10,0,0,
BWI,AirTran Airways Corporation,06:00-07:00,Sunday,2010,September,5,7,2,0,11.50
BWI,AirTran Airways Corporation,06:00-07:00,Sunday,2010,October,8,10,2,0,18.00
BWI,AirTran Airways Corporation,06:00-07:00,Sunday,2010,November,8,8,0,0,
BWI,AirTran Airways Corporation,06:00-07:00,Sunday,2010,December,7,8,1,0,1.00
BWI,AirTran Airways Corporation,06:00-07:00,Sunday,2011,January,10,10,0,0,
BWI,AirTran Airways Corporation,06:00-07:00,Monday,2009,January,5,8,3,0,3.00
BWI,AirTran Airways Corporation,06:00-07:00,Monday,2009,February,5,6,1,0,2.00
BWI,AirTran Airways Corporation,06:00-07:00,Monday,2009,March,3,5,2,0,38.00
BWI,AirTran Airways Corporation,06:00-07:00,Monday,2009,April,2,4,2,0,7.00
BWI,AirTran Airways Corporation,06:00-07:00,Monday,2009,May,6,10,4,0,8.75
BWI,AirTran Airways Corporation,06:00-07:00,Monday,2009,June,8,15,7,0,8.29
BWI,AirTran Airways Corporation,06:00-07:00,Monday,2009,July,7,12,5,0,5.40
BWI,AirTran Airways Corporation,06:00-07:00,Monday,2009,August,11,15,4,0,11.50
BWI,AirTran Airways Corporation,06:00-07:00,Monday,2009,September,5,7,2,0,20.00
BWI,AirTran Airways Corporation,06:00-07:00,Monday,2009,October,6,10,4,0,37.25
BWI,AirTran Airways Corporation,06:00-07:00,Monday,2009,November,6,7,1,0,14.00
BWI,AirTran Airways Corporation,06:00-07:00,Monday,2009,December,6,8,2,0,11.50
BWI,AirTran Airways Corporation,06:00-07:00,Monday,2010,January,7,8,1,0,18.00
BWI,AirTran Airways Corporation,06:00-07:00,Monday,2010,February,6,8,2,0,4.00
BWI,AirTran Airways Corporation,06:00-07:00,Monday,2010,March,7,10,3,0,18.33
BWI,AirTran Airways Corporation,06:00-07:00,Monday,2010,April,7,8,1,1,28.00
BWI,AirTran Airways Corporation,06:00-07:00,Monday,2010,May,9,12,3,0,30.33
BWI,AirTran Airways Corporation,06:00-07:00,Monday,2010,June,12,13,1,0,6.00
BWI,AirTran Airways Corporation,06:00-07:00,Monday,2010,July,9,12,3,0,40.33
BWI,AirTran Airways Corporation,06:00-07:00,Monday,2010,August,10,15,5,1,4.20
BWI,AirTran Airways Corporation,06:00-07:00,Monday,2010,September,9,10,1,0,1.00
BWI,AirTran Airways Corporation,06:00-07:00,Monday,2010,October,8,8,0,0,
BWI,AirTran Airways Corporation,06:00-07:00,Monday,2010,November,6,10,4,0,4.25
BWI,AirTran Airways Corporation,06:00-07:00,Monday,2010,December,6,7,1,1,3.00
BWI,AirTran Airways Corporation,06:00-07:00,Monday,2011,January,10,10,0,1,
BWI,AirTran Airways Corporation,06:00-07:00,Tuesday,2009,January,2,7,5,0,14.80
BWI,AirTran Airways Corporation,06:00-07:00,Tuesday,2009,February,5,6,1,0,5.00
BWI,AirTran Airways Corporation,06:00-07:00,Tuesday,2009,March,4,5,1,0,6.00
BWI,AirTran Airways Corporation,06:00-07:00,Tuesday,2009,April,3,4,1,0,2.00
BWI,AirTran Airways Corporation,06:00-07:00,Tuesday,2009,May,10,12,2,0,7.00
BWI,AirTran Airways Corporation,06:00-07:00,Tuesday,2009,June,11,16,5,0,9.00
BWI,AirTran Airways Corporation,06:00-07:00,Tuesday,2009,July,10,12,2,0,69.00
BWI,AirTran Airways Corporation,06:00-07:00,Tuesday,2009,August,10,12,2,0,18.00
BWI,AirTran Airways Corporation,06:00-07:00,Tuesday,2009,September,7,10,3,0,17.00
BWI,AirTran Airways Corporation,06:00-07:00,Tuesday,2009,October,7,8,1,0,1.00
BWI,AirTran Airways Corporation,06:00-07:00,Tuesday,2009,November,5,5,0,0,
BWI,AirTran Airways Corporation,06:00-07:00,Tuesday,2009,December,9,10,1,0,28.00
BWI,AirTran Airways Corporation,06:00-07:00,Tuesday,2010,January,7,8,1,0,7.00
BWI,AirTran Airways Corporation,06:00-07:00,Tuesday,2010,February,4,8,4,0,24.00
BWI,AirTran Airways Corporation,06:00-07:00,Tuesday,2010,March,9,10,1,0,202.00
BWI,AirTran Airways Corporation,06:00-07:00,Tuesday,2010,April,9,10,1,0,31.00
BWI,AirTran Airways Corporation,06:00-07:00,Tuesday,2010,May,5,8,3,0,3.67
BWI,AirTran Airways Corporation,06:00-07:00,Tuesday,2010,June,10,10,0,0,
BWI,AirTran Airways Corporation,06:00-07:00,Tuesday,2010,July,7,8,1,0,11.00
BWI,AirTran Airways Corporation,06:00-07:00,Tuesday,2010,August,10,13,3,0,5.00
BWI,AirTran Airways Corporation,06:00-07:00,Tuesday,2010,September,7,10,3,0,12.00
BWI,AirTran Airways Corporation,06:00-07:00,Tuesday,2010,October,6,8,2,0,6.00
BWI,AirTran Airways Corporation,06:00-07:00,Tuesday,2010,November,7,10,3,0,7.67
BWI,AirTran Airways Corporation,06:00-07:00,Tuesday,2010,December,6,8,2,0,8.50
BWI,AirTran Airways Corporation,06:00-07:00,Tuesday,2011,January,6,8,2,2,43.50
BWI,AirTran Airways Corporation,06:00-07:00,Wednesday,2009,January,6,8,2,1,39.00
BWI,AirTran Airways Corporation,06:00-07:00,Wednesday,2009,February,5,7,2,0,9.00
BWI,AirTran Airways Corporation,06:00-07:00,Wednesday,2009,March,4,4,0,0,
BWI,AirTran Airways Corporation,06:00-07:00,Wednesday,2009,April,4,5,1,0,9.00
BWI,AirTran Airways Corporation,06:00-07:00,Wednesday,2009,May,9,13,4,0,10.25
BWI,AirTran Airways Corporation,06:00-07:00,Wednesday,2009,June,10,12,2,1,40.00
BWI,AirTran Airways Corporation,06:00-07:00,Wednesday,2009,July,9,15,6,0,19.67
BWI,AirTran Airways Corporation,06:00-07:00,Wednesday,2009,August,7,12,5,0,22.60
BWI,AirTran Airways Corporation,06:00-07:00,Wednesday,2009,September,6,7,1,0,2.00
BWI,AirTran Airways Corporation,06:00-07:00,Wednesday,2009,October,8,8,0,0,
BWI,AirTran Airways Corporation,06:00-07:00,Wednesday,2009,November,3,4,1,0,3.00
BWI,AirTran Airways Corporation,06:00-07:00,Wednesday,2009,December,7,9,2,1,3.50
BWI,AirTran Airways Corporation,06:00-07:00,Wednesday,2010,January,6,8,2,0,22.50
BWI,AirTran Airways Corporation,06:00-07:00,Wednesday,2010,February,6,8,2,2,16.50
BWI,AirTran Airways Corporation,06:00-07:00,Wednesday,2010,March,9,10,1,0,45.00
BWI,AirTran Airways Corporation,06:00-07:00,Wednesday,2010,April,8,10,2,0,3.00
BWI,AirTran Airways Corporation,06:00-07:00,Wednesday,2010,May,7,7,0,0,
BWI,AirTran Airways Corporation,06:00-07:00,Wednesday,2010,June,9,10,1,0,3.00
BWI,AirTran Airways Corporation,06:00-07:00,Wednesday,2010,July,7,8,1,0,1.00
BWI,AirTran Airways Corporation,06:00-07:00,Wednesday,2010,August,5,8,3,0,18.67
BWI,AirTran Airways Corporation,06:00-07:00,Wednesday,2010,September,9,10,1,0,1.00
BWI,AirTran Airways Corporation,06:00-07:00,Wednesday,2010,October,7,8,1,0,1.00
BWI,AirTran Airways Corporation,06:00-07:00,Wednesday,2010,November,7,8,1,0,2.00
BWI,AirTran Airways Corporation,06:00-07:00,Wednesday,2010,December,9,9,0,0,
